team,team_id,season,league,wins,draws,loses,scored,missed,pts,xG,xGA,npxG,npxGA,deep,deep_allowed,xpts
Aston Villa,71,2024,EPL,,,,,,,,,,,,,
Everton,72,2024,EPL,,,,,,,,,,,,,
Bournemouth,73,2024,EPL,,,,,,,,,,,,,
Southampton,74,2024,EPL,,,,,,,,,,,,,
Leicester,75,2024,EPL,,,,,,,,,,,,,
Crystal Palace,78,2024,EPL,,,,,,,,,,,,,
Chelsea,80,2024,EPL,,,,,,,,,,,,,
West Ham,81,2024,EPL,,,,,,,,,,,,,
Tottenham,82,2024,EPL,,,,,,,,,,,,,
Arsenal,83,2024,EPL,,,,,,,,,,,,,
Newcastle United,86,2024,EPL,,,,,,,,,,,,,
Liverpool,87,2024,EPL,,,,,,,,,,,,,
Manchester City,88,2024,EPL,,,,,,,,,,,,,
Manchester United,89,2024,EPL,,,,,,,,,,,,,
Brighton,220,2024,EPL,,,,,,,,,,,,,
Fulham,228,2024,EPL,,,,,,,,,,,,,
Wolverhampton Wanderers,229,2024,EPL,,,,,,,,,,,,,
Brentford,244,2024,EPL,,,,,,,,,,,,,
Nottingham Forest,249,2024,EPL,,,,,,,,,,,,,
Ipswich,285,2024,EPL,,,,,,,,,,,,,
